"seed1" "seed2"
15020.8487175405 3593.27206388116
43280.7931210846 -42007.7450573444
73519.017547369 71390.2980554849
28134.1279856861 -29661.7668587714
9174.87973347306 -45357.7298671007
-14633.7596233934 -78982.8051812947
3953.46693694592 -15574.6695119888
-71587.073802948 -49156.5600968897
54953.9694562554 68865.2381766587
87964.301975444 8376.33889168501
-23604.4412013143 53204.6194653958
-54227.8653942049 -4968.0941272527
92313.4228214622 47104.0421631187
89216.0922288895 81321.0165128112
82162.2353978455 73906.6683221608
-87337.4878894538 41499.0745019168
-85136.899817735 85340.0690481067
1737.88601532578 75502.9866937548
56090.6019061804 -9555.57012930512
-89642.5333805382 93203.6867365241
-76388.5552529246 -53181.6541682929
-727.771501988173 43766.0903669894
-57062.3120293021 -42141.8831683695
59030.1258955151 -6441.31754525006
70816.1146845669 -94357.3229014874
-62958.4669601172 -22930.9134650975
52967.9836705327 14665.729785338
37334.8605819046 49723.1746092439
11758.3866696805 17335.5823382735
-20952.6954684407 66228.1189579517
-32713.8615306467 62626.7372630537
-15663.4686980397 -42879.9885325134
98771.6779578477 -82614.3113896251
24944.0978746861 79994.1193778068
30362.5307045877 12154.3126180768
22689.7181943059 36424.8008001596
80395.8622273058 -59581.9571986794
94495.6434890628 -2111.08941584826
-82518.6357833445 60813.7927949429
58259.0721547604 33020.988991484
47398.5562566668 30796.865420416
61467.3319738358 59531.6341612488
63595.0699448586 60393.0535726249
1505.09728118777 -38055.1310721785
-11352.2300031036 79587.1409121901
-13412.9914920777 46294.3206075579
-4953.43734510243 -41700.732614845
14430.4047338665 19786.6977192461
30106.7296415567 23822.4157132208
16758.7853502482 48102.0017527044
12562.6032240689 16239.9051710963
-49241.0275619477 -61573.1002762914
23957.2271239012 -95723.3902532607
56503.3175982535 -54111.7213666439
-27792.0874301344 95454.9633897841
62815.6947903335 -5688.1895288825
34216.5155336261 -68854.8828009516
-23595.9898680449 44405.400659889
87520.33370547 9251.65568478405
-31360.8559779823 14136.1493151635
-70166.9214293361 -23967.3270843923
-96617.7386697382 86586.2897131592
92583.0949097872 77628.9961766452
-11409.19001773 -3880.67252933979
